Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
,,,есть,Железобетонный,косметический,4400000₽,,,1,50 м2,1,во двор,7,,1995,,,,,88000₽/м²,10,32 м2,есть,Бетонные столбы,8 м2,https://domclick.ru/card/sale__flat__2058919074,2,,Свободная продажа,,Панельный,,,,,
,Раздельный,,есть,Железобетонный,,4200000₽,нет,,1,53 м2,,во двор,1,2.5,1989,,нет,,,79245₽/м²,10,30 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__2059448831,2,Больше пяти,Свободная продажа,,Панельный,нет,,,1-панельный,нет
,Совмещенный,,нет,Железобетонный,Без ремонта,4475120₽,нет,,1,60 м2,,во двор,11,2.7,2023,,нет,,,74585₽/м²,17,30 м2,,,12 м2,https://domclick.ru/card/sale__flat__2058732784,2,,Свободная продажа,,Панельный,нет,132,Центральное,,нет
,,,,,,3790000₽,,,1,40 м2,,,15,,2023,,,,,94797₽/м²,19,"16,3 м2",,,"9,9 м2",https://domclick.ru/card/sale__flat__2058977258,1,,Свободная продажа,,Панельный,,,,,
2,Совмещенный,,есть,Железобетонный,Косметический,3990000₽,нет,,1,"61,2 м2",,"во двор, на улицу",4,2.7,1973,,нет,,,65196₽/м²,5,45 м2,,Ленточный,"5,5 м2",https://domclick.ru/card/sale__flat__2058657836,3,Больше пяти,Свободная продажа,2,Панельный,нет,,,1-панельный,нет
,,,нет,Железобетонный,,3600000₽,,,,"39,6 м2",1,,11,,2017,нет,,,,90909₽/м²,19,,есть,,,https://domclick.ru/card/sale__flat__2059570709,1,,Свободная продажа,,Панельный,нет,,,1-панельный,
,,,,,,3750000₽,,,,40 м2,1,,4,2.8,,нет,,,,93750₽/м²,17,"17,5 м2",,,"10,5 м2",https://domclick.ru/card/sale__flat__2059355059,1,,Свободная продажа,,Панельный,,,,,
1,Раздельный,,есть,,Косметический,2600000₽,нет,есть,1,33 м2,1,во двор,1,,1987,,нет,,,78787₽/м²,9,18 м2,,,8 м2,https://domclick.ru/card/sale__flat__2058995872,1,Меньше трех,Свободная продажа,,Панельный,нет,,,,нет
3,Совмещенный,,есть,,Дизайнерский,9500000₽,нет,,1,"128,7 м2",2,во двор,5,2.5,2007,,есть,,,73815₽/м²,5,"82,8 м2",есть,,"16,3 м2",https://domclick.ru/card/sale__flat__2056695532,4,Больше пяти,Свободная продажа,,Панельный,есть,20,,II-01,нет
,Совмещенный,,есть,Деревянный,Косметический,2600000₽,,,1,"54,2 м2",,"во двор, на улицу",2,3,1948,,,,,47970₽/м²,2,"37,2 м2",,Ленточный,"7,5 м2",https://domclick.ru/card/sale__flat__2056614142,3,,Свободная продажа,,Кирпичный,нет,,,v-кирпичный,
