Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
9,46 м2,https://domclick.ru/card/sale__flat__2056334233,есть,10,214,1,,,1,16 м2,,3660000₽,3,есть,,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,Совмещенный,2011,,17 м2,79565₽/м²,"во двор, на улицу",,Панельный,,Косметический,,ленинский,,,,,есть,
1,"33,3 м2",https://domclick.ru/card/sale__flat__2059046746,нет,5,89,,,,1,"5,5 м2",,2500000₽,,есть,,1-панельный,Свободная продажа,Совмещенный,1980,,20 м2,75075₽/м²,на улицу,,Панельный,2.7,Косметический,нет,ленинский,От трех до пяти,,,Железобетонный,,2
9,67 м2,https://domclick.ru/card/sale__flat__2056576804,нет,11,,,,,3,8 м2,,4995000₽,1,есть,,1-панельный,Свободная продажа,,1987,,49 м2,74552₽/м²,,,Панельный,,,нет,ленинский,,есть,,Железобетонный,есть,
13,"55,1 м2",https://domclick.ru/card/sale__flat__2059050147,,15,,1,,,2,10 м2,,3750000₽,1,есть,,,Свободная продажа,,2015,,30 м2,68058₽/м²,во двор,,Кирпичный,2.7,евроремонт,,ленинский,,,Иной,Железобетонный,есть,
2,83 м2,https://domclick.ru/card/sale__flat__2057509372,нет,3,,,,,3,"9,5 м2",нет,3700000₽,,есть,нет,,Свободная продажа,Раздельный,1947,нет,"56,9 м2",44578₽/м²,во двор,,Кирпичный,,Без ремонта,нет,ленинский,Меньше трех,,,,,1
3,"33,9 м2",https://domclick.ru/card/sale__flat__2058251874,,10,,,,,1,10 м2,,3100000₽,1,есть,,v-кирпичный,Свободная продажа,,2010,,18 м2,91445₽/м²,во двор,,Кирпичный,,евроремонт,нет,ленинский,,есть,,Железобетонный,есть,
3,"74,5 м2",https://domclick.ru/card/sale__flat__2057038732,,17,,1,,,2,18 м2,,5690000₽,1,есть,,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,,2012,,40 м2,76375₽/м²,"во двор, на улицу",,Панельный,,Дизайнерский,,ленинский,,,,Железобетонный,есть,
9,90 м2,https://domclick.ru/card/sale__flat__2058516205,,15,,,,Центральное,3,20 м2,,12690000₽,,,,,Свободная продажа,,2018,,52 м2,141000₽/м²,,,Монолитный,,,нет,ленинский,,,,Железобетонный,,
14,"48,4 м2",https://domclick.ru/card/sale__flat__2058811168,,17,,,,,1,"17,5 м2",,3830000₽,,,,II-14,Свободная продажа,,2017,,"12,2 м2",79132₽/м²,на улицу,,Панельный,,,нет,ленинский,,,,Железобетонный,есть,
2,"51,4 м2",https://domclick.ru/card/sale__flat__2056440451,,5,,,,,3,7 м2,,2499000₽,,есть,,v-кирпичный,Свободная продажа,,1972,,,48618₽/м²,во двор,,Кирпичный,,Требует ремонта,нет,ленинский,,,Ленточный,Железобетонный,,
