Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2058991086;3;4600000.0;65.0;42.0;70769.0;ленинский;Косметический;6;1985;9;Панельный
https://domclick.ru/card/sale__flat__2055790512;2;1450000.0;23.1;13.0;62770.0;ленинский;косметический;1;1917;2;Кирпичный
https://domclick.ru/card/sale__flat__2059291440;1;3300000.0;36.6;18.0;90163.0;ленинский;Косметический;15;2013;16;Монолитный
https://domclick.ru/card/sale__flat__2059382147;1;3510000.0;46.8;15.9;75000.0;ленинский;Без ремонта;15;2023;18;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__2057748908;1;3700000.0;44.0;17.4;84090.0;ленинский;Евро;5;2013;17;Панельный
https://domclick.ru/card/sale__flat__2058208745;3;3270000.0;61.5;40.0;53170.0;ленинский;Косметический;5;1968;5;Панельный
https://domclick.ru/card/sale__flat__2056687273;1;3200000.0;34.0;24.0;94117.0;ленинский;Косметический;6;1987;9;Кирпичный
https://domclick.ru/card/sale__flat__2058433588;1;2850000.0;37.3;19.0;76407.0;ленинский;Косметический;9;2000;10;Панельный
https://domclick.ru/card/sale__flat__2058251965;3;11799000.0;81.1;60.0;145487.0;ленинский;евроремонт;9;2021;19;Кирпичный
https://domclick.ru/card/sale__flat__2058965442;2;2999999.0;44.0;30.0;68181.0;ленинский;Косметический;5;1972;5;Панельный
https://domclick.ru/card/sale__flat__2059149607;2;5500000.0;78.8;31.0;69796.0;ленинский;Без ремонта;3;2024;12;Монолитный
https://domclick.ru/card/sale__flat__2057375329;2;5000000.0;63.7;38.0;78492.0;ленинский;Косметический;12;2014;16;Панельный
https://domclick.ru/card/sale__flat__2059489084;3;3150000.0;59.0;42.0;53389.0;ленинский;Косметический;5;1973;5;Блочный
https://domclick.ru/card/sale__flat__2059490875;1;3592500.0;48.0;27.0;74843.0;ленинский;Без ремонта;10;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2056081043;1;3250000.0;36.2;20.0;89779.0;ленинский;косметический;13;2015;18;Панельный
https://domclick.ru/card/sale__flat__2059053519;3;2700000.0;42.0;36.0;64285.0;ленинский;Косметический;4;1959;4;Кирпичный
https://domclick.ru/card/sale__flat__2056002693;3;7900000.0;112.0;92.0;70535.0;ленинский;Дизайнерский;17;2018;17;Монолитный
https://domclick.ru/card/sale__flat__1703510758;3;6320400.0;91.6;50.6;69000.0;ленинский;Без ремонта;3;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__1950278124;1;3590000.0;38.0;20.0;94473.0;ленинский;косметический;7;2018;19;Смешанные
